like_id_placeholder,user_guid_fk,product_guid_fk,liked_at
1,usr-2e36bf40,prod-a6f8a406,2023-10-12
1,usr-d4fc6324,prod-d037f438,2023-11-30
1,usr-7914ca72,prod-0af0708d,2023-03-17
1,usr-856e1aa6,prod-a9d8b97c,2023-09-28
1,usr-b51322ee,prod-65bda645,2023-04-20
1,usr-d4fc6324,prod-b64f30ae,2023-08-10
1,usr-396286a8,prod-6c26a1a3,2023-03-12
1,usr-6b654d33,prod-b0484d6a,2023-09-04
1,usr-2659d7eb,prod-9ebde980,2023-08-14
1,usr-6665bd40,prod-a5c0af33,2023-03-18
1,usr-f1ddcacd,prod-a5c0af33,2023-03-16
1,usr-7ffac22b,prod-ee5022b4,2023-11-23
1,usr-ae2f98ba,prod-3e8d8842,2023-05-15
1,usr-d756efe5,prod-42d26fdd,2023-12-28
1,usr-47580ba2,prod-a6f8a406,2023-08-05
1,usr-b6e3ac3f,prod-ee5022b4,2023-01-31
1,usr-937dbcc0,prod-4ec5a124,2023-08-20
1,usr-b906ebde,prod-42d26fdd,2024-01-26
1,usr-f1ddcacd,prod-fc63f10a,2023-11-10
1,usr-7a095695,prod-a91df523,2023-02-01
1,usr-ae2f98ba,prod-a6dacdef,2023-05-06
1,usr-441f0b7e,prod-7138ac15,2023-05-14
1,usr-b906ebde,prod-ee5022b4,2023-07-21
1,usr-51ded7b9,prod-1ec8134f,2023-12-09
1,usr-ae2f98ba,prod-83952fd9,2023-11-13
1,usr-c8b765b1,prod-65bda645,2023-09-26
1,usr-8a403aae,prod-0189e3a1,2023-04-15
1,usr-396286a8,prod-16c5330d,2023-04-09
1,usr-937dbcc0,prod-8f060e8c,2023-06-19
1,usr-ae2f98ba,prod-0b87982e,2023-03-02
1,usr-e3019d98,prod-b0484d6a,2023-09-14
1,usr-937dbcc0,prod-91f2982f,2023-10-04
1,usr-da671625,prod-8f060e8c,2023-02-06
1,usr-7ffac22b,prod-88d1677b,2023-06-06
1,usr-0b427144,prod-9bd03fff,2024-01-24
1,usr-8a403aae,prod-df3d6c7c,2023-11-14
1,usr-6665bd40,prod-f5513cee,2023-12-01
1,usr-e3019d98,prod-1a59ea47,2023-03-13
1,usr-47580ba2,prod-4def7ef8,2023-08-15
1,usr-68561ff8,prod-16c5330d,2023-06-08
1,usr-5fa305ea,prod-03bdd4eb,2024-02-08
1,usr-d0f14253,prod-6c26a1a3,2023-07-24
1,usr-2e36bf40,prod-1b5fffbb,2023-07-13
1,usr-6b654d33,prod-ee5022b4,2023-06-25
1,usr-7914ca72,prod-6dd34a42,2023-08-12
1,usr-ae2f98ba,prod-b0484d6a,2023-08-19
1,usr-2e36bf40,prod-85def1a6,2023-11-10
1,usr-5526c15b,prod-42d26fdd,2023-02-27
1,usr-d756efe5,prod-b0484d6a,2023-08-18
1,usr-8a403aae,prod-a9d8b97c,2023-12-31
1,usr-f333f3aa,prod-41d84011,2024-01-11
1,usr-a0166e9b,prod-8f060e8c,2023-06-17
1,usr-c8b765b1,prod-15b52971,2023-11-03
1,usr-47580ba2,prod-a6dacdef,2024-01-13
1,usr-da671625,prod-a6dacdef,2023-04-23
1,usr-68561ff8,prod-56f056ee,2023-06-30
1,usr-8a403aae,prod-486575d3,2023-06-09
1,usr-9fcb82dd,prod-03bdd4eb,2023-02-01
1,usr-7ffac22b,prod-b64f30ae,2023-11-04
1,usr-5526c15b,prod-8c80e12c,2023-11-22
1,usr-ae2f98ba,prod-37ee069a,2023-09-22
1,usr-3f2b03e8,prod-1a59ea47,2023-09-05
1,usr-5526c15b,prod-9e596b5d,2023-03-28
1,usr-d756efe5,prod-e3b363cb,2023-05-09
1,usr-9fcb82dd,prod-e0490897,2023-02-08
1,usr-7a095695,prod-80ea0e3b,2023-10-07
1,usr-d756efe5,prod-54b42641,2023-04-16
1,usr-856e1aa6,prod-d037f438,2023-01-27
1,usr-af6c0cbd,prod-7574dbed,2023-05-23
1,usr-fc3f611c,prod-65bda645,2023-09-17
1,usr-3a12affa,prod-80ea0e3b,2023-03-04
1,usr-fc3f611c,prod-35f4f956,2023-05-23
1,usr-5fa305ea,prod-54b42641,2023-05-31
1,usr-e3019d98,prod-05948a86,2023-08-17
1,usr-fc3f611c,prod-83952fd9,2023-05-29
1,usr-a1781274,prod-94eb550d,2024-02-08
1,usr-64420166,prod-85def1a6,2023-09-04
1,usr-075438cc,prod-16c5330d,2023-07-03
1,usr-68561ff8,prod-d51a959c,2023-12-07
1,usr-5fa305ea,prod-85def1a6,2023-01-22
1,usr-0b427144,prod-a19b8c77,2023-12-03
1,usr-d4fc6324,prod-41608780,2024-01-26
1,usr-e3019d98,prod-d51a959c,2023-10-09
1,usr-af6c0cbd,prod-41608780,2023-04-10
1,usr-6b654d33,prod-54b42641,2024-01-25
1,usr-7914ca72,prod-41d84011,2023-12-11
1,usr-e3019d98,prod-f1222451,2023-12-08
1,usr-6b654d33,prod-a6f8a406,2023-04-01
1,usr-937dbcc0,prod-3ca7f112,2023-03-19
1,usr-075438cc,prod-7574dbed,2023-07-23
