view_id_placeholder,user_guid_fk,product_guid_fk,viewed_at,duration_ms
1,usr-0014ea7d,prod-9e596b5d,2023-07-17,25625
1,usr-5526c15b,prod-a9d8b97c,2023-11-03,68182
1,usr-a1781274,prod-a6dacdef,2023-11-16,144414
1,usr-e3019d98,prod-a9d8b97c,2023-02-22,290127
1,usr-e3019d98,prod-a6f8a406,2023-03-02,114988
1,usr-d03a5876,prod-56f056ee,2023-02-17,182648
1,usr-d4fc6324,prod-b0484d6a,2023-02-07,225648
1,usr-5526c15b,prod-1a59ea47,2023-02-09,242052
1,usr-e3019d98,prod-91f2982f,2023-09-17,95770
1,usr-396286a8,prod-1a59ea47,2023-04-07,143195
1,usr-7a095695,prod-41608780,2023-01-19,217149
1,usr-0d757a3f,prod-aa2db884,2023-05-23,197346
1,usr-2dea68c0,prod-df3d6c7c,2023-06-29,73463
1,usr-075438cc,prod-4ec5a124,2024-01-09,103419
1,usr-d0f14253,prod-0af0708d,2023-11-01,247614
1,usr-b10d01b6,prod-b14bcb80,2023-05-01,108400
1,usr-e3019d98,prod-9ebde980,2023-11-09,25185
1,usr-2dea68c0,prod-9e596b5d,2024-02-05,25054
1,usr-f333f3aa,prod-03bdd4eb,2023-11-11,39562
1,usr-bfcc7ca7,prod-d037f438,2024-01-10,49839
1,usr-f333f3aa,prod-8f060e8c,2023-10-20,283758
1,usr-f12d047f,prod-35f4f956,2023-11-30,274459
1,usr-b10d01b6,prod-1b5fffbb,2023-05-14,267259
1,usr-2dea68c0,prod-6dd34a42,2023-03-06,189474
1,usr-2e36bf40,prod-99f536d2,2023-09-02,105932
1,usr-7a095695,prod-da857fec,2023-01-31,241246
1,usr-b10d01b6,prod-1a59ea47,2023-10-27,18886
1,usr-6b654d33,prod-85def1a6,2023-11-21,262380
1,usr-ae2f98ba,prod-9bd03fff,2023-02-17,285021
1,usr-d0f14253,prod-1ec8134f,2023-12-22,265039
