like_id_placeholder,user_guid_fk,stream_guid_fk,liked_at
1,usr-d7f9a8df,strm-00096f98,2023-12-15
1,usr-c0107131,strm-43ef6943,2024-01-21
1,usr-1ba9dbd6,strm-edcd2ec3,2024-01-22
1,usr-044499b1,strm-33055a63,2023-10-14
1,usr-5a33ea8c,strm-34e43319,2024-01-08
1,usr-5bc3f759,strm-22a35f50,2024-01-26
1,usr-67a12ef9,strm-9e7d189a,2023-09-22
1,usr-76b3deed,strm-32de3074,2023-12-09
1,usr-950a4b93,strm-21c9aec6,2024-01-02
1,usr-4d664edc,strm-8704455a,2023-12-15
1,usr-a5ac7769,strm-b58c59a9,2024-01-24
1,usr-e5031a4d,strm-30dd2074,2023-10-11
1,usr-4c23df88,strm-dddc2a0e,2023-11-12
1,usr-5bc3f759,strm-3c944e3d,2023-10-29
1,usr-f4f9a207,strm-ce12218b,2024-01-08
1,usr-517d8cb7,strm-5d28afaf,2023-09-03
1,usr-38bf583d,strm-685becbf,2023-09-24
1,usr-88503b23,strm-34e43319,2024-01-09
1,usr-ec454ed0,strm-d5f785eb,2023-08-25
1,usr-5a052815,strm-0b94b8a8,2023-12-22
1,usr-e36b5a97,strm-1e3eda21,2023-10-29
1,usr-1a929e70,strm-d7f691a1,2023-10-31
1,usr-ada8b8bd,strm-3f189710,2023-10-05
1,usr-9017d93e,strm-04e40c0d,2023-08-29
1,usr-76e382f8,strm-29ff15d3,2024-01-04
1,usr-cb3066b7,strm-812a1bdb,2023-10-02
1,usr-e4a3b9a0,strm-fd99e945,2023-11-23
1,usr-fc3dce2a,strm-29b705b6,2023-12-21
1,usr-b555effe,strm-5d28afaf,2023-09-28
1,usr-704ef4e0,strm-dc7e18e4,2023-08-21
1,usr-f04c75d7,strm-f43563c8,2023-09-09
1,usr-df56e82a,strm-7c71fea5,2024-01-08
1,usr-cf7d3a7b,strm-2cd13f2e,2024-01-23
1,usr-30f3e70f,strm-0fd8936a,2024-01-01
1,usr-328051d5,strm-6fb122b0,2023-12-21
1,usr-ca91e8ad,strm-7fda6ac1,2023-09-02
1,usr-43d993dc,strm-f78b2c9e,2023-10-22
1,usr-328051d5,strm-46a035d7,2023-09-11
1,usr-32ecc7cc,strm-967bda42,2024-01-03
1,usr-cf4094e8,strm-39e71b6e,2023-11-28
1,usr-25d26aa6,strm-6998a2bc,2023-09-24
1,usr-715c28c3,strm-aac0a258,2023-10-01
1,usr-0a10aa5f,strm-7fda6ac1,2023-09-30
1,usr-863f94f9,strm-626e9808,2023-09-16
1,usr-0583e3af,strm-aac0a258,2023-08-17
1,usr-ac536fdd,strm-029e4982,2023-12-10
1,usr-df56e82a,strm-33055a63,2023-10-05
1,usr-32956dda,strm-ab54a025,2023-10-18
1,usr-cd2f2ec2,strm-77dab2ec,2023-12-13
1,usr-97228f9f,strm-1a6ab985,2024-01-28
1,usr-ada8b8bd,strm-c21601dd,2023-12-09
1,usr-08c2d8e3,strm-017269ec,2023-11-28
1,usr-c70f52dc,strm-bb355c98,2023-11-17
1,usr-329e341c,strm-c1fe0bae,2023-10-15
1,usr-ad0facb5,strm-8a5a7b5d,2023-08-31
1,usr-bf2a3290,strm-c8caf8ff,2023-11-26
1,usr-63139c4c,strm-4bc7f295,2023-09-24
1,usr-67a12ef9,strm-5bf158f3,2023-09-03
1,usr-5aade24b,strm-00d88b68,2024-01-13
1,usr-9ccd6726,strm-f040dd6a,2024-01-14
1,usr-a6d2a550,strm-b53c939b,2024-01-10
1,usr-7ed71dcc,strm-6fb122b0,2024-01-15
1,usr-ca91e8ad,strm-6998a2bc,2023-09-26
1,usr-9c6355be,strm-f0d62c81,2024-01-11
1,usr-e7805ec9,strm-471ae7a7,2023-10-24
1,usr-bf2a3290,strm-9cbc29c3,2023-08-25
1,usr-8bff52ed,strm-c70d4b77,2023-12-10
1,usr-95ed7f31,strm-047cd7aa,2023-11-12
1,usr-6756b9ae,strm-c70d4b77,2024-01-22
1,usr-eb4d1c0e,strm-cad2fe44,2023-10-06
1,usr-2ea2e4ca,strm-76bb8c1f,2023-09-08
1,usr-4c23df88,strm-df00ef3a,2023-08-24
1,usr-3032360b,strm-1a6ab985,2023-10-30
1,usr-ed3d1cb7,strm-bb355c98,2023-12-31
1,usr-4a2b8292,strm-864f6b32,2023-10-17
1,usr-f2bbf589,strm-dd017ac7,2024-01-22
1,usr-d8471a9e,strm-a68c53c8,2023-08-31
1,usr-2e012f50,strm-556b1a7e,2023-11-13
1,usr-03e9a3ba,strm-a2841873,2023-09-01
1,usr-92063100,strm-a9897861,2024-01-02
1,usr-5c996a68,strm-883348bd,2023-10-06
1,usr-bc7470b9,strm-7c71fea5,2023-10-07
1,usr-f2bbf589,strm-b61db30c,2024-01-27
1,usr-180b1a51,strm-66536332,2023-11-04
1,usr-0bc75854,strm-33055a63,2023-12-14
1,usr-5bc3f759,strm-812a1bdb,2023-09-17
1,usr-9451dee1,strm-c5ec244d,2024-01-22
1,usr-be6fc7ae,strm-9a46ce22,2023-09-14
1,usr-a660a97c,strm-15f13f10,2023-09-10
1,usr-7ed71dcc,strm-d57c5fc2,2023-10-26
1,usr-1a929e70,strm-85315c12,2023-08-21
1,usr-4d664edc,strm-eb56c52f,2023-12-22
1,usr-befc4464,strm-0da676c9,2023-11-27
1,usr-6220d0a2,strm-5a312371,2023-09-14
1,usr-c3134135,strm-cbc56ed8,2024-01-24
1,usr-9ba8a029,strm-094c2697,2023-10-06
1,usr-2605b31d,strm-fad5731f,2023-10-11
1,usr-fb2463d4,strm-b3b4a705,2023-10-31
1,usr-d5f7f43d,strm-91b92ea6,2023-08-27
1,usr-5dbbd189,strm-cb79fa87,2023-12-22
1,usr-3190cad9,strm-34e3828c,2023-09-04
1,usr-75dac993,strm-33055a63,2024-01-14
1,usr-f67c2be6,strm-c321dd43,2023-08-30
1,usr-8b3c0733,strm-cd27a051,2023-12-26
1,usr-e45b21c7,strm-3392a92a,2023-09-20
1,usr-b4cc6812,strm-4f5cfd2d,2023-12-16
1,usr-e5031a4d,strm-baa21c4f,2023-10-09
1,usr-03e84880,strm-42bfed8f,2023-10-25
1,usr-e18a7b96,strm-22a35f50,2023-08-31
1,usr-d7f9a8df,strm-387ca54a,2024-01-13
1,usr-715c28c3,strm-fad5731f,2023-11-03
1,usr-fab88057,strm-91b92ea6,2023-12-13
1,usr-d62de943,strm-f0d4bcae,2023-11-02
1,usr-fe88e05a,strm-f926f8cf,2023-10-11
1,usr-5a33ea8c,strm-df00ef3a,2023-11-15
1,usr-df040af4,strm-9c6f51df,2023-10-19
1,usr-3558bbdd,strm-d1122dc7,2023-09-25
1,usr-88503b23,strm-685becbf,2023-08-17
1,usr-0bc75854,strm-d024b12d,2023-08-31
1,usr-c54eea39,strm-b88e5203,2023-08-19
1,usr-5d57d842,strm-8077ecaf,2024-01-28
1,usr-4c86d48c,strm-c8f70844,2024-01-12
1,usr-ccde6a87,strm-51a56e9d,2023-11-11
1,usr-59038418,strm-8bffbace,2023-10-03
1,usr-2ea2e4ca,strm-d77e6ee9,2023-09-21
1,usr-71cfa548,strm-98a6441c,2023-09-14
1,usr-6220d0a2,strm-fd531772,2024-01-17
1,usr-14b7ede9,strm-d0ed5c78,2024-01-07
1,usr-b0338418,strm-04e40c0d,2024-01-11
1,usr-82c3f4b8,strm-51a56e9d,2023-11-16
1,usr-22aaa082,strm-9386c0ae,2023-11-12
1,usr-fab88057,strm-601b5386,2023-12-11
1,usr-d4cc9d61,strm-e88e83c1,2023-10-04
1,usr-60f4ad6c,strm-7226e514,2023-09-06
1,usr-3510ce29,strm-a956607f,2024-01-31
1,usr-a1a37788,strm-b3226b26,2024-01-18
1,usr-e3d6b4bf,strm-0b94b8a8,2023-12-23
1,usr-cf4094e8,strm-5fdd5637,2023-10-06
1,usr-86dc3cfe,strm-29ff15d3,2023-10-15
1,usr-41ba2370,strm-a5fafd5b,2024-01-19
1,usr-2605b31d,strm-e9763f57,2023-10-17
1,usr-86dc3cfe,strm-2f37334a,2023-12-30
1,usr-7f4c4c75,strm-6aed0f6f,2023-11-15
1,usr-1d676ed6,strm-fd99e945,2023-10-22
1,usr-09786814,strm-2c80f6e7,2024-01-28
1,usr-c5ec8054,strm-e3fb78f8,2023-09-12
1,usr-86dc3cfe,strm-6e9ddf10,2023-11-18
1,usr-5aade24b,strm-b0fe52d7,2023-12-30
1,usr-f548a45f,strm-c21601dd,2023-12-25
1,usr-74345855,strm-1faf60c3,2023-10-13
1,usr-c0107131,strm-98a6441c,2023-09-03
1,usr-67f49b0d,strm-d57c5fc2,2023-09-22
1,usr-02d28016,strm-387ca54a,2023-10-17
1,usr-eb4d1c0e,strm-cc17fd58,2023-08-23
1,usr-c54eea39,strm-9e7d189a,2023-12-27
1,usr-fcd2e6f8,strm-150d1cde,2024-01-01
1,usr-74345855,strm-ffbca85a,2023-09-09
1,usr-d62de943,strm-8ef90690,2024-01-28
1,usr-cac32514,strm-051076ac,2024-01-21
1,usr-eee63934,strm-34799828,2023-11-09
1,usr-606088bf,strm-91b92ea6,2023-11-27
1,usr-be6fc7ae,strm-1a6ab985,2024-01-19
1,usr-ec454ed0,strm-d1995ae4,2023-09-19
1,usr-49d21b5a,strm-9f13281e,2023-09-23
1,usr-46905193,strm-a965bce4,2023-11-04
1,usr-3032360b,strm-360f02df,2023-12-23
1,usr-2ea2e4ca,strm-a3e84402,2024-01-07
1,usr-67f49b0d,strm-9a46ce22,2024-01-11
1,usr-9d8446ae,strm-8dbbef4c,2023-08-20
1,usr-d86bbc87,strm-afac5860,2023-08-27
1,usr-88a50a6e,strm-e40f0173,2023-11-26
1,usr-25d26aa6,strm-d0f87ae1,2023-12-13
1,usr-2ea2e4ca,strm-ee9b19fa,2024-01-15
1,usr-c3134135,strm-d0ed5c78,2023-11-15
1,usr-4c8d32fd,strm-08b9d7b5,2023-12-25
1,usr-039e038a,strm-a0731f8b,2023-11-01
1,usr-b481aa61,strm-0af96249,2023-09-27
1,usr-5e401bb5,strm-017269ec,2023-09-20
1,usr-f92f9c4d,strm-2c80f6e7,2024-01-20
1,usr-905c0529,strm-5bb4196f,2023-08-29
1,usr-ff41e9fc,strm-0c50aec6,2023-08-21
1,usr-92063100,strm-e40f0173,2023-09-15
1,usr-e2b7c331,strm-f3621f48,2024-01-01
1,usr-d3a930b6,strm-a68c53c8,2023-09-28
1,usr-f66ba022,strm-734662fa,2023-12-17
1,usr-09786814,strm-72f34b1d,2023-11-24
1,usr-fece1b7c,strm-52725ceb,2023-08-31
1,usr-1a64f9e8,strm-4d15f124,2024-01-22
1,usr-9c6355be,strm-b9cc06d3,2023-08-15
1,usr-5b0e70e3,strm-96eb66a1,2023-10-18
1,usr-cf4094e8,strm-b89a9f18,2023-12-17
1,usr-ba1ffa8a,strm-d0f87ae1,2023-11-26
1,usr-954b130f,strm-60f0f43e,2023-12-22
1,usr-c0107131,strm-1ea4e429,2023-12-13
1,usr-7f4c4c75,strm-b802d12f,2023-11-06
1,usr-d62de943,strm-00d88b68,2023-10-22
1,usr-b2e46dab,strm-fd8cee7e,2024-01-08
1,usr-d8642140,strm-7226e514,2023-12-25
1,usr-2a743762,strm-150d1cde,2023-08-20
1,usr-03e9a3ba,strm-f0d4bcae,2024-01-25
1,usr-f548a45f,strm-fd8cee7e,2024-01-16
1,usr-5bc3f759,strm-bc40e633,2023-11-01
1,usr-88a50a6e,strm-55cabf4f,2023-11-09
1,usr-18e5deed,strm-601b5386,2023-09-22
1,usr-576c011d,strm-7067824d,2023-08-25
1,usr-071a7f70,strm-98a6441c,2023-11-30
1,usr-9200cd48,strm-0fd8936a,2023-10-09
1,usr-c5ec8054,strm-967bda42,2023-11-05
1,usr-51283925,strm-72993abf,2023-11-15
1,usr-5c996a68,strm-43ef6943,2023-08-21
1,usr-9200cd48,strm-5fdd5637,2023-12-17
1,usr-d86bbc87,strm-b7dd9a80,2023-10-02
1,usr-fb3e9623,strm-b930d03c,2024-01-04
1,usr-d3e0d34b,strm-7067824d,2024-01-04
1,usr-d816b680,strm-959d0cda,2023-12-05
1,usr-5c996a68,strm-51e7f8b8,2023-11-13
1,usr-d8c8071f,strm-967bda42,2024-01-29
1,usr-14b7ede9,strm-92b21d02,2024-01-07
1,usr-4c86d48c,strm-29b705b6,2023-10-24
1,usr-d8c8071f,strm-fad5731f,2023-08-29
1,usr-64c6a892,strm-c70d4b77,2023-08-17
