like_id_placeholder,user_guid_fk,stream_guid_fk,liked_at
1,usr-e3019d98,strm-6a684563,2023-10-01
1,usr-d0f14253,strm-62ec0ea7,2023-12-13
1,usr-fc4a2cf1,strm-2f4d4406,2024-01-04
1,usr-0d757a3f,strm-e3de0178,2023-12-05
1,usr-ae2f98ba,strm-aab943e8,2024-01-09
1,usr-856e1aa6,strm-e3de0178,2023-10-28
1,usr-3a12affa,strm-6a684563,2023-12-30
1,usr-b9021239,strm-2b49bfdb,2023-11-18
1,usr-b51322ee,strm-aab943e8,2023-12-29
1,usr-2659d7eb,strm-d2bd5feb,2024-01-01
1,usr-d03a5876,strm-874f61cd,2023-09-19
1,usr-2659d7eb,strm-ba2f040c,2023-11-10
1,usr-6b654d33,strm-fe699564,2023-10-03
1,usr-c8b765b1,strm-3ffda9bd,2024-02-01
1,usr-51ded7b9,strm-56450eb2,2023-12-01
1,usr-7914ca72,strm-1fa57a4c,2023-11-23
1,usr-075438cc,strm-517f43b5,2023-10-07
1,usr-ae2f98ba,strm-6a684563,2023-10-29
1,usr-856e1aa6,strm-e3de0178,2023-12-25
1,usr-6b654d33,strm-0ec48551,2023-11-16
1,usr-f12d047f,strm-df3cb92c,2023-09-10
1,usr-3a12affa,strm-9d41553d,2023-08-31
1,usr-937dbcc0,strm-3ffda9bd,2023-09-13
1,usr-844bb365,strm-6096ed1e,2023-09-08
1,usr-2dea68c0,strm-df3cb92c,2023-12-25
1,usr-d756efe5,strm-ad7e1ae3,2023-08-18
1,usr-9fcb82dd,strm-e151c795,2023-11-08
1,usr-fc4a2cf1,strm-62ec0ea7,2023-10-19
1,usr-0014ea7d,strm-62ec0ea7,2024-01-08
1,usr-64420166,strm-2b49bfdb,2023-11-28
1,usr-b6b7a003,strm-c206d48d,2023-12-21
1,usr-a0166e9b,strm-61d1160c,2023-11-11
1,usr-fc3f611c,strm-b3c9fce3,2023-12-07
1,usr-8a403aae,strm-f9005a66,2023-12-11
1,usr-6b654d33,strm-6a684563,2024-01-29
1,usr-69a2ae0b,strm-3769cb05,2023-09-04
1,usr-7a095695,strm-ba2f040c,2023-11-06
1,usr-2659d7eb,strm-2b49bfdb,2023-12-30
1,usr-af6c0cbd,strm-7eb15c3b,2023-11-27
1,usr-b6e3ac3f,strm-86cfe6ec,2024-01-25
1,usr-da671625,strm-3418dee7,2023-11-08
1,usr-ed39d2c7,strm-15d25264,2023-12-21
1,usr-3f2b03e8,strm-a1a1c5d1,2023-11-22
1,usr-844bb365,strm-b3c9fce3,2023-09-27
1,usr-396286a8,strm-874f61cd,2023-10-07
1,usr-d0f14253,strm-2f4d4406,2024-01-21
1,usr-d756efe5,strm-6a684563,2024-02-12
1,usr-f12d047f,strm-e151c795,2023-11-26
1,usr-7a095695,strm-aab943e8,2023-10-07
1,usr-a0166e9b,strm-517f43b5,2023-11-26
1,usr-2dea68c0,strm-517f43b5,2023-08-19
1,usr-2659d7eb,strm-b3c9fce3,2023-10-14
1,usr-fc4a2cf1,strm-df3cb92c,2023-10-30
1,usr-0b427144,strm-56450eb2,2023-10-16
1,usr-7ffac22b,strm-56450eb2,2023-11-14
1,usr-e3019d98,strm-2b49bfdb,2023-10-21
1,usr-a24e3ea8,strm-99d42d21,2023-10-05
1,usr-b51322ee,strm-3769cb05,2023-08-16
1,usr-075438cc,strm-f9005a66,2023-12-26
1,usr-bfcc7ca7,strm-0ec48551,2023-08-31
1,usr-d4fc6324,strm-e3de0178,2023-11-07
1,usr-b906ebde,strm-6a684563,2023-12-08
1,usr-7a095695,strm-3ffda9bd,2023-08-25
1,usr-c8b765b1,strm-6efcf8b3,2024-01-31
1,usr-856e1aa6,strm-f9005a66,2023-08-15
1,usr-7ffac22b,strm-61d1160c,2023-12-12
1,usr-68561ff8,strm-40b2913c,2023-12-18
1,usr-da671625,strm-936077de,2023-11-05
1,usr-441f0b7e,strm-04ce4075,2023-12-01
1,usr-ae2f98ba,strm-ba2f040c,2023-10-30
1,usr-64420166,strm-2f4d4406,2023-09-06
1,usr-f333f3aa,strm-e5b4b416,2023-11-15
1,usr-844bb365,strm-936077de,2023-10-06
1,usr-b10d01b6,strm-e151c795,2024-02-07
1,usr-b10d01b6,strm-fe699564,2024-01-27
1,usr-844bb365,strm-6a684563,2023-08-29
1,usr-a1781274,strm-2f4d4406,2023-09-23
1,usr-856e1aa6,strm-99d42d21,2023-09-16
1,usr-a0166e9b,strm-3418dee7,2023-11-20
1,usr-c8b765b1,strm-3418dee7,2023-10-27
1,usr-8a403aae,strm-04ce4075,2023-09-12
1,usr-7ffac22b,strm-1fa57a4c,2023-08-27
1,usr-47580ba2,strm-a1a1c5d1,2023-12-12
1,usr-d0f14253,strm-6a684563,2023-11-02
1,usr-b9021239,strm-62ec0ea7,2024-01-22
1,usr-af6c0cbd,strm-2f4d4406,2023-09-09
1,usr-68561ff8,strm-99d42d21,2023-09-14
1,usr-396286a8,strm-9d41553d,2023-11-22
1,usr-396286a8,strm-e5bf6d19,2023-11-06
1,usr-441f0b7e,strm-b3c9fce3,2024-01-20
1,usr-d756efe5,strm-40b2913c,2023-12-19
1,usr-937dbcc0,strm-ad7e1ae3,2023-09-17
1,usr-0b427144,strm-6efcf8b3,2024-01-27
1,usr-da671625,strm-f9005a66,2023-12-27
1,usr-c8b765b1,strm-62ec0ea7,2023-10-16
1,usr-fc4a2cf1,strm-f9005a66,2023-09-29
1,usr-e3019d98,strm-75961e0f,2023-08-25
1,usr-d03a5876,strm-ad7e1ae3,2023-10-09
1,usr-f12d047f,strm-2f4844e7,2024-01-05
1,usr-f333f3aa,strm-ad7e1ae3,2023-12-02
1,usr-937dbcc0,strm-0ec48551,2023-12-02
1,usr-5526c15b,strm-d2bd5feb,2024-01-26
1,usr-da671625,strm-ddac9ead,2023-10-27
1,usr-ae2f98ba,strm-6efcf8b3,2023-11-14
1,usr-844bb365,strm-04ce4075,2023-10-28
1,usr-0b427144,strm-75961e0f,2024-01-05
1,usr-5fa305ea,strm-61d1160c,2023-11-22
1,usr-fc4a2cf1,strm-e3de0178,2023-09-10
1,usr-075438cc,strm-6efcf8b3,2023-09-08
1,usr-fc3f611c,strm-1fa57a4c,2023-09-18
1,usr-9fcb82dd,strm-56450eb2,2024-01-05
1,usr-0d757a3f,strm-0ec48551,2024-02-08
1,usr-7ffac22b,strm-99d42d21,2023-12-11
1,usr-e3019d98,strm-936077de,2023-10-29
1,usr-64420166,strm-75961e0f,2023-11-07
1,usr-5526c15b,strm-62ec0ea7,2023-12-03
1,usr-da671625,strm-7eb15c3b,2023-12-03
1,usr-b9021239,strm-62ec0ea7,2024-01-18
1,usr-b51322ee,strm-ad7e1ae3,2024-02-06
1,usr-b6e3ac3f,strm-ad7e1ae3,2024-02-12
1,usr-fc3f611c,strm-936077de,2024-02-11
1,usr-ae2f98ba,strm-6efcf8b3,2023-09-13
1,usr-441f0b7e,strm-04ce4075,2024-01-19
1,usr-b10d01b6,strm-62ec0ea7,2024-01-17
1,usr-b10d01b6,strm-7eb15c3b,2023-12-02
1,usr-396286a8,strm-b3c9fce3,2023-10-25
1,usr-68561ff8,strm-2f4844e7,2023-09-08
1,usr-e3019d98,strm-56450eb2,2023-11-19
1,usr-69a2ae0b,strm-99d42d21,2024-01-23
1,usr-b6b7a003,strm-0ec48551,2024-01-31
1,usr-396286a8,strm-43a2fc25,2023-11-20
1,usr-fc3f611c,strm-56450eb2,2024-01-12
1,usr-fc3f611c,strm-99d42d21,2024-01-27
1,usr-fc4a2cf1,strm-e5bf6d19,2024-01-02
1,usr-f12d047f,strm-f9005a66,2023-10-27
1,usr-b906ebde,strm-7eb15c3b,2023-09-29
1,usr-ae2f98ba,strm-2b49bfdb,2023-11-16
1,usr-7914ca72,strm-2b49bfdb,2023-12-11
1,usr-b6b7a003,strm-6efcf8b3,2023-12-17
1,usr-69a2ae0b,strm-e3de0178,2023-09-13
1,usr-af6c0cbd,strm-04ce4075,2024-02-03
1,usr-7ffac22b,strm-ba2f040c,2023-12-19
1,usr-d4fc6324,strm-56450eb2,2023-11-04
1,usr-f12d047f,strm-43a2fc25,2023-12-13
1,usr-af6c0cbd,strm-517f43b5,2023-12-20
1,usr-f1ddcacd,strm-61d1160c,2023-11-16
1,usr-075438cc,strm-6a684563,2023-09-03
1,usr-075438cc,strm-e151c795,2023-11-24
1,usr-fc4a2cf1,strm-a1a1c5d1,2024-02-09
1,usr-2659d7eb,strm-e5bf6d19,2023-12-30
1,usr-b906ebde,strm-9d41553d,2023-08-20
1,usr-fc4a2cf1,strm-99d42d21,2023-12-22
1,usr-b6b7a003,strm-ddac9ead,2023-11-30
1,usr-e3019d98,strm-2f4844e7,2023-08-22
1,usr-7ffac22b,strm-e5b4b416,2023-10-12
1,usr-da671625,strm-ba2f040c,2023-09-17
