follow_id_placeholder,follower_guid_fk,followed_guid_fk,created_at
1,usr-82c3f4b8,usr-3558bbdd,2023-01-02
1,usr-587813d2,usr-f434518c,2023-01-16
1,usr-4c8d32fd,usr-e45b21c7,2022-03-20
1,usr-863f94f9,usr-09010cf1,2022-07-22
1,usr-d3e0d34b,usr-a5ac7769,2023-05-10
1,usr-6bf4b8bb,usr-38bf583d,2022-03-29
1,usr-6e82ff08,usr-5fc7c74c,2023-03-23
1,usr-0bc75854,usr-7f4c4c75,2023-09-19
1,usr-2ea2e4ca,usr-d885a3bc,2022-08-30
1,usr-9a015d8e,usr-d62de943,2023-09-12
1,usr-ea9dc933,usr-c54eea39,2023-03-20
1,usr-a6d2a550,usr-d00aae76,2023-05-24
1,usr-1930f74a,usr-03e84880,2023-06-27
1,usr-d3ed7d08,usr-de7855dc,2023-07-24
1,usr-5fc7c74c,usr-0583e3af,2022-06-01
1,usr-d59cad8a,usr-03e9a3ba,2022-04-22
1,usr-1a929e70,usr-b481aa61,2023-07-13
1,usr-5bc3f759,usr-fcd5ab19,2022-06-17
1,usr-97228f9f,usr-1ba9dbd6,2022-07-13
1,usr-8a8b69e7,usr-d8c8071f,2023-08-29
1,usr-e45b21c7,usr-a660a97c,2023-01-27
1,usr-bee48d6b,usr-a7f362fd,2023-03-19
1,usr-63139c4c,usr-be6fc7ae,2023-09-02
1,usr-f7eae2a6,usr-5c996a68,2022-11-25
1,usr-1ba9dbd6,usr-c968c375,2022-10-08
1,usr-954b130f,usr-fb3e9623,2022-06-25
1,usr-b481aa61,usr-587813d2,2023-12-09
1,usr-0e636010,usr-bee48d6b,2022-10-18
1,usr-82c3f4b8,usr-2e90f097,2023-07-28
1,usr-576c011d,usr-567871a3,2022-05-06
1,usr-74345855,usr-43d993dc,2023-12-31
1,usr-edd1e48e,usr-9200cd48,2023-05-07
1,usr-5c996a68,usr-8fc70a13,2022-11-30
1,usr-41ba2370,usr-1c103460,2023-01-20
1,usr-155e0ea4,usr-c7722b72,2023-10-19
1,usr-1d676ed6,usr-a5ac7769,2023-02-17
1,usr-de7855dc,usr-2ed6a909,2022-07-23
1,usr-3558bbdd,usr-24bbb2d6,2022-09-23
1,usr-5fc7c74c,usr-fea421ca,2022-11-14
1,usr-4c23df88,usr-0e636010,2022-05-11
1,usr-32956dda,usr-d00aae76,2023-05-30
1,usr-d86bbc87,usr-befc4464,2023-06-02
1,usr-3190cad9,usr-19d5149b,2023-09-22
1,usr-f92f9c4d,usr-3032360b,2022-10-26
1,usr-07f9ef77,usr-a24b7d55,2022-05-28
1,usr-1a929e70,usr-f89eca00,2022-10-29
1,usr-071a7f70,usr-0d9dd263,2022-07-29
1,usr-4c86d48c,usr-dac5c395,2022-11-17
1,usr-08c2d8e3,usr-d2260722,2022-07-07
1,usr-75dac993,usr-cb6af303,2023-05-06
1,usr-75dac993,usr-eec74cf5,2023-05-10
1,usr-ba1ffa8a,usr-41ba2370,2022-03-28
1,usr-df040af4,usr-0bc75854,2022-06-20
1,usr-704ef4e0,usr-03e84880,2023-01-19
1,usr-821b5391,usr-3190cad9,2022-08-04
1,usr-d2260722,usr-a3b72ece,2023-02-02
1,usr-d8642140,usr-4d664edc,2023-07-12
1,usr-4fcc955c,usr-98610fc6,2023-10-21
1,usr-7d1ac601,usr-f4f9a207,2022-11-25
1,usr-fea421ca,usr-46ca183c,2023-03-17
1,usr-d59cad8a,usr-4fcc955c,2023-02-18
1,usr-95ed7f31,usr-1c103460,2022-09-20
1,usr-514ccdaf,usr-4d830a76,2023-03-31
1,usr-1c103460,usr-76b3deed,2023-09-16
1,usr-4c23df88,usr-befc4464,2022-11-14
1,usr-4fcc955c,usr-039e038a,2023-05-14
1,usr-5f872e95,usr-a130a4a5,2023-09-21
1,usr-18e5deed,usr-76e382f8,2023-12-08
1,usr-6e413631,usr-e801fcd0,2023-08-03
1,usr-d86bbc87,usr-b63421a7,2022-08-17
1,usr-d7f9a8df,usr-909115fd,2023-06-04
1,usr-f7eae2a6,usr-d8013104,2023-11-09
1,usr-d885a3bc,usr-cda4df6b,2023-01-02
1,usr-c165d5bd,usr-1d676ed6,2022-09-20
1,usr-fb3e9623,usr-b0338418,2022-03-09
1,usr-fb2463d4,usr-155e0ea4,2022-04-26
1,usr-cda4df6b,usr-d885a3bc,2022-04-30
1,usr-fcd2e6f8,usr-bc7470b9,2022-02-17
1,usr-a6b25129,usr-afbcc355,2022-06-10
1,usr-e801fcd0,usr-a6d2a550,2023-08-29
1,usr-3032360b,usr-768487c6,2023-01-04
1,usr-180b1a51,usr-8c37fb97,2023-12-16
1,usr-b99da0d2,usr-5aade24b,2022-09-02
1,usr-f2bbf589,usr-0d46edd3,2023-05-23
1,usr-31e56c24,usr-ac536fdd,2022-11-26
1,usr-49d21b5a,usr-fa66ede6,2023-01-05
1,usr-954b130f,usr-f67c2be6,2022-05-17
1,usr-3558bbdd,usr-755b9a01,2023-02-10
1,usr-d3ed7d08,usr-e4a3b9a0,2023-10-07
1,usr-863f94f9,usr-d8642140,2022-12-25
1,usr-fcd5ab19,usr-0597d68f,2022-08-28
1,usr-46ca183c,usr-38bf583d,2023-12-05
1,usr-821b5391,usr-ccde6a87,2023-05-25
1,usr-fea421ca,usr-039e038a,2023-12-25
1,usr-b99da0d2,usr-c70f52dc,2023-01-28
1,usr-e47c0c12,usr-09786814,2022-09-07
1,usr-03e9a3ba,usr-715c28c3,2022-03-09
1,usr-5c996a68,usr-5b0a7894,2023-09-13
1,usr-fa66ede6,usr-8b3c0733,2023-04-09
1,usr-67a12ef9,usr-6e82ff08,2023-12-29
1,usr-5f872e95,usr-cd2f2ec2,2023-11-30
1,usr-38bf583d,usr-607f1a08,2022-08-09
1,usr-5dbbd189,usr-5b0e70e3,2023-12-13
1,usr-fab88057,usr-e36b5a97,2023-08-29
1,usr-c5ec8054,usr-d2771e28,2023-12-08
1,usr-704ef4e0,usr-fea421ca,2023-06-22
1,usr-46905193,usr-7f4c4c75,2023-12-14
1,usr-e36b5a97,usr-edd1e48e,2022-07-05
1,usr-befc4464,usr-69eba04a,2023-07-08
1,usr-6220d0a2,usr-7ed71dcc,2023-08-27
1,usr-eee63934,usr-d86bbc87,2022-02-25
1,usr-715c28c3,usr-d8642140,2023-05-24
1,usr-feb865b3,usr-1930f74a,2022-07-06
1,usr-4c86d48c,usr-03e9a3ba,2022-02-25
1,usr-1babf2b8,usr-fa698e22,2022-05-07
1,usr-24bbb2d6,usr-039e038a,2022-08-13
1,usr-de7855dc,usr-c5ec8054,2022-07-16
1,usr-f4e88a7c,usr-32af39e8,2022-04-01
1,usr-5bc3f759,usr-feb865b3,2022-05-29
1,usr-180b1a51,usr-0597d68f,2022-04-29
1,usr-76e382f8,usr-e42c8b9d,2022-09-10
1,usr-be6fc7ae,usr-c879d041,2022-05-15
1,usr-32956dda,usr-10c868d4,2022-09-22
1,usr-fab88057,usr-08dbe213,2023-02-01
1,usr-aff16f5a,usr-cac32514,2022-08-24
1,usr-08c2d8e3,usr-36a4f828,2023-07-16
1,usr-9dbd8bc7,usr-d5f7f43d,2023-07-31
1,usr-fece1b7c,usr-f548a45f,2023-04-06
1,usr-950a4b93,usr-b555effe,2023-07-21
1,usr-b0338418,usr-07f9ef77,2022-07-28
1,usr-0bc75854,usr-f434518c,2022-12-03
1,usr-d4cc9d61,usr-61066281,2022-06-14
1,usr-514ccdaf,usr-d4cc9d61,2022-04-18
1,usr-eee63934,usr-9c6355be,2022-09-29
1,usr-bee48d6b,usr-d2771e28,2023-03-28
1,usr-d8c8071f,usr-1c103460,2023-10-30
1,usr-4c23df88,usr-64c6a892,2022-02-22
1,usr-cda4df6b,usr-d8c8071f,2023-12-02
1,usr-bc7470b9,usr-ca983da7,2022-07-11
1,usr-dc3053e9,usr-28ae7fc8,2023-10-27
1,usr-08c2d8e3,usr-f548a45f,2022-11-05
1,usr-0dbca433,usr-071a7f70,2023-11-25
1,usr-5fc7c74c,usr-ed3d1cb7,2022-07-24
1,usr-74345855,usr-cd2f2ec2,2022-10-24
1,usr-10c868d4,usr-de7855dc,2022-09-25
1,usr-1babf2b8,usr-5f872e95,2022-06-05
1,usr-4d664edc,usr-dad43a58,2022-02-19
1,usr-c5ec8054,usr-c879d041,2022-02-11
1,usr-802cad2b,usr-d885a3bc,2022-04-12
1,usr-7ed71dcc,usr-fe88e05a,2023-01-02
1,usr-17a13355,usr-ba1ffa8a,2022-03-10
1,usr-f92f9c4d,usr-ed3d1cb7,2022-02-02
1,usr-fa698e22,usr-de7855dc,2023-09-17
1,usr-2909ac09,usr-856200aa,2023-04-07
1,usr-eee63934,usr-52ed6704,2022-03-22
1,usr-1924b5ec,usr-2ea2e4ca,2022-08-14
1,usr-e4a3b9a0,usr-909115fd,2023-09-04
1,usr-cd1d9a17,usr-2605b31d,2022-09-17
1,usr-dad43a58,usr-d8471a9e,2022-02-27
1,usr-43d993dc,usr-b555effe,2022-03-28
1,usr-bccff7e3,usr-a3b72ece,2022-05-30
1,usr-fc3dce2a,usr-a130a4a5,2022-02-28
1,usr-b2e46dab,usr-ac536fdd,2023-03-15
1,usr-9451dee1,usr-44d7c355,2022-05-11
1,usr-2605b31d,usr-612d455a,2022-06-22
1,usr-909115fd,usr-a660a97c,2022-04-05
1,usr-d8c8071f,usr-d885a3bc,2023-02-07
1,usr-fb2463d4,usr-a6b25129,2022-10-04
1,usr-fa66ede6,usr-612d455a,2022-03-10
1,usr-09786814,usr-f4e88a7c,2023-11-05
1,usr-52ed6704,usr-67f49b0d,2022-02-03
1,usr-bc7470b9,usr-9ccd6726,2022-06-03
1,usr-9017d93e,usr-befc4464,2022-08-16
1,usr-329e341c,usr-38bf583d,2023-12-29
1,usr-d00aae76,usr-1930f74a,2022-10-30
1,usr-4ee7510a,usr-03e84880,2022-10-15
1,usr-e45b21c7,usr-088dfa4d,2023-01-08
1,usr-c0107131,usr-dc3053e9,2022-03-21
1,usr-4fcc955c,usr-c165d5bd,2022-04-30
1,usr-4fcc955c,usr-92063100,2022-04-23
