follow_id_placeholder,follower_guid_fk,followed_guid_fk,created_at
1,usr-bfcc7ca7,usr-5526c15b,2022-06-01
1,usr-c8b765b1,usr-da671625,2022-07-25
1,usr-6665bd40,usr-8a403aae,2023-09-30
1,usr-a24e3ea8,usr-b10d01b6,2022-02-13
1,usr-47580ba2,usr-69a2ae0b,2023-01-17
1,usr-d03a5876,usr-b6b7a003,2022-04-04
1,usr-441f0b7e,usr-b10d01b6,2023-09-28
1,usr-d0f14253,usr-2659d7eb,2022-12-28
1,usr-51ded7b9,usr-3f2b03e8,2024-01-14
1,usr-c8b765b1,usr-3f2b03e8,2023-04-28
1,usr-b10d01b6,usr-6665bd40,2022-06-24
1,usr-d756efe5,usr-ae2f98ba,2023-05-04
1,usr-7914ca72,usr-396286a8,2023-11-27
1,usr-d4fc6324,usr-d0f14253,2023-11-30
1,usr-51ded7b9,usr-a24e3ea8,2022-10-06
1,usr-5fa305ea,usr-d03a5876,2022-08-29
1,usr-2dea68c0,usr-2e36bf40,2022-06-02
1,usr-d03a5876,usr-7a095695,2023-03-03
1,usr-8a403aae,usr-fc4a2cf1,2023-11-30
1,usr-075438cc,usr-af6c0cbd,2024-01-06
1,usr-075438cc,usr-f333f3aa,2022-03-01
1,usr-5526c15b,usr-b6e3ac3f,2023-04-18
1,usr-b51322ee,usr-3f2b03e8,2023-03-15
1,usr-fc4a2cf1,usr-d4fc6324,2023-05-23
1,usr-2659d7eb,usr-af6c0cbd,2023-09-29
1,usr-b6b7a003,usr-ed39d2c7,2023-09-17
1,usr-396286a8,usr-ae2f98ba,2023-04-18
1,usr-0014ea7d,usr-b6e3ac3f,2022-06-22
1,usr-f1ddcacd,usr-856e1aa6,2022-05-29
1,usr-c8b765b1,usr-ed39d2c7,2022-11-26
1,usr-6665bd40,usr-075438cc,2022-04-06
1,usr-f333f3aa,usr-a24e3ea8,2023-09-04
1,usr-2dea68c0,usr-ae2f98ba,2023-02-21
1,usr-2659d7eb,usr-b9021239,2023-06-06
1,usr-ed39d2c7,usr-2dea68c0,2023-02-14
1,usr-51ded7b9,usr-3a12affa,2022-07-24
1,usr-b51322ee,usr-3f2b03e8,2023-10-22
1,usr-b6e3ac3f,usr-af6c0cbd,2022-06-14
1,usr-0014ea7d,usr-2659d7eb,2022-03-06
1,usr-ed39d2c7,usr-b906ebde,2022-06-26
1,usr-64420166,usr-d756efe5,2022-11-15
1,usr-2659d7eb,usr-3a12affa,2022-11-13
1,usr-b9021239,usr-9fcb82dd,2023-12-29
1,usr-b6e3ac3f,usr-6665bd40,2022-02-12
1,usr-5fa305ea,usr-856e1aa6,2022-12-22
1,usr-fc4a2cf1,usr-075438cc,2023-09-25
1,usr-d4fc6324,usr-ae2f98ba,2022-02-04
1,usr-d4fc6324,usr-a1781274,2022-10-12
1,usr-7a095695,usr-2659d7eb,2022-09-09
1,usr-2659d7eb,usr-fc3f611c,2023-09-16
1,usr-5fa305ea,usr-3f2b03e8,2022-07-24
1,usr-ae2f98ba,usr-d0f14253,2023-12-09
1,usr-3a12affa,usr-2dea68c0,2023-12-11
1,usr-6b654d33,usr-f1ddcacd,2023-07-22
1,usr-6b654d33,usr-b51322ee,2023-04-07
