bid_id_placeholder,bid_guid,auction_guid_fk,user_guid_fk,amount,bid_time,is_winning,is_cancelled
1,bid-97e17529,auc-54320fb6,usr-c5ec8054,534.4708348008108,2023-12-28,0,0
1,bid-1aec5b59,auc-f7e899c4,usr-0d9dd263,566.4411419715406,2023-06-23,0,0
1,bid-84a6c409,auc-3d3d2de8,usr-5fc7c74c,958.5993764345645,2023-08-16,0,0
1,bid-83fb1663,auc-720e050c,usr-3190cad9,438.19729122121896,2023-10-10,0,0
1,bid-d6861397,auc-f4669634,usr-03e84880,544.8119230313139,2023-10-17,0,0
1,bid-7819920b,auc-715ac17c,usr-f4e88a7c,524.0317636988658,2023-12-03,0,0
1,bid-7072d89e,auc-cef8c3dc,usr-576c011d,223.5440196953289,2023-10-18,0,0
1,bid-8addd6b6,auc-084c6453,usr-cd1d9a17,861.9371751843767,2023-03-03,0,0
1,bid-98a2746d,auc-52cf7162,usr-d2771e28,144.87237183782716,2023-09-22,0,0
1,bid-7d9fe297,auc-9677d5b1,usr-704ef4e0,294.2049491763361,2023-10-15,0,0
1,bid-c18cab6b,auc-68938909,usr-ca983da7,999.135881516348,2023-06-07,0,0
1,bid-5a292aba,auc-c4692d66,usr-328051d5,883.1165923422399,2023-05-14,1,0
1,bid-ce29c004,auc-c927d358,usr-a24b7d55,53.51998693730981,2023-07-18,0,0
1,bid-75e2699b,auc-43bd7a6e,usr-17a13355,437.65815539301786,2023-03-13,0,0
1,bid-da06be17,auc-5646df61,usr-51283925,875.5307683019741,2023-06-29,0,0
1,bid-c0b46f2f,auc-7f0e6cc5,usr-38bb498f,512.6671120609346,2023-04-24,0,0
1,bid-ff20c7e2,auc-aee162b4,usr-d8013104,428.95734998532737,2023-09-25,0,0
1,bid-373f0188,auc-cb3fcabd,usr-fc3dce2a,276.2428891444951,2023-08-14,0,0
1,bid-f9104c24,auc-a17a5f30,usr-5b0e70e3,47.24708828029167,2023-04-29,0,0
1,bid-69ee0d94,auc-e44d914a,usr-51283925,74.26837429203603,2023-10-19,0,0
1,bid-a907c374,auc-c927d358,usr-d885a3bc,315.75863927849366,2023-05-19,0,0
1,bid-aa844d21,auc-33c7e78c,usr-fcd5ab19,919.4834129687521,2023-11-07,0,0
1,bid-8aec68c6,auc-c0df061e,usr-19d5149b,12.79817336983498,2023-05-29,0,0
1,bid-31bb00e9,auc-04ee1ca8,usr-2605b31d,762.753581053932,2023-12-18,0,0
1,bid-dc560ded,auc-f1bf423c,usr-a6d2a550,416.37975682675363,2023-07-03,0,0
1,bid-bfcea53c,auc-e85b427b,usr-67f49b0d,57.81578491893388,2023-10-06,0,0
1,bid-6e77390c,auc-06b1d84b,usr-6e82ff08,606.0912565119316,2023-12-08,0,0
1,bid-09e4f535,auc-b62bf665,usr-cda4df6b,142.08433242260043,2023-04-09,0,0
1,bid-2376e4f5,auc-bef3f541,usr-30f3e70f,271.9681439059285,2023-07-10,0,0
1,bid-49aca7a3,auc-cb3fcabd,usr-eee63934,572.84491816518,2024-01-09,0,0
1,bid-589eee5d,auc-795fcdaf,usr-5bc3f759,889.6318485044708,2023-04-17,0,0
1,bid-2d4f89d2,auc-629b7e1f,usr-d5f7f43d,78.18241299113849,2023-11-04,0,0
1,bid-9bac38ff,auc-5f4c16e4,usr-75dac993,212.68861090432065,2023-08-25,0,0
1,bid-3ae34ff1,auc-de992efc,usr-5fc7c74c,645.6673278360382,2023-03-20,0,0
1,bid-4f684a8a,auc-58c4dafe,usr-de7855dc,123.89829577393634,2023-03-12,0,0
1,bid-235552a9,auc-c361a406,usr-75dac993,660.7441556286154,2023-11-01,0,0
1,bid-2d56e695,auc-815bcb3f,usr-aff16f5a,353.380696317586,2023-09-11,0,0
1,bid-7bdf589f,auc-c419379f,usr-22aaa082,641.9707834365686,2023-11-26,1,0
1,bid-f58a771a,auc-f4669634,usr-ca983da7,650.1881601604105,2023-10-10,0,0
1,bid-8f6d206f,auc-963c2135,usr-d5f7f43d,189.68780901994654,2023-08-09,0,0
1,bid-7e947353,auc-59212535,usr-0d767918,374.0156192031847,2023-04-28,0,0
1,bid-22d7d604,auc-4ff9c7ee,usr-92063100,929.3144464805956,2023-05-26,0,0
1,bid-b6fdb5c1,auc-a33cc6ec,usr-02d28016,729.0282089692795,2023-10-22,1,0
1,bid-5b03cc60,auc-94ab8d01,usr-ba1ffa8a,482.2697840379984,2023-06-14,0,0
1,bid-54c45151,auc-46b80daf,usr-fece1b7c,117.72056032960337,2023-12-09,0,0
1,bid-e6739df8,auc-3105a639,usr-a86828e6,138.69380821632822,2023-08-15,1,0
1,bid-dc6908be,auc-09d640b9,usr-0597d68f,429.5727345405245,2023-08-07,1,0
1,bid-ea7c99da,auc-e598f2ef,usr-cd1d9a17,185.90603857204505,2023-12-12,0,0
1,bid-fbacec03,auc-b3a81e42,usr-5dbbd189,130.9226841975095,2023-11-27,0,0
1,bid-f7c7c520,auc-455f7257,usr-5dbbd189,59.79592704204796,2023-07-13,0,0
1,bid-ba463bf0,auc-e1d152fe,usr-46ca183c,940.7529170498537,2023-07-21,0,0
1,bid-ec1ffeb5,auc-205a1c36,usr-9d8446ae,242.1328112835287,2023-12-21,0,0
1,bid-dc2fd786,auc-2e972574,usr-c5ec8054,631.0507090728826,2023-03-22,0,0
1,bid-004eafd1,auc-c7bd92c9,usr-e36b5a97,53.572218127921865,2023-05-24,0,0
1,bid-570912e9,auc-947370fb,usr-fa698e22,442.2063512733678,2023-09-18,0,0
1,bid-0c8ab34b,auc-815bcb3f,usr-8fc70a13,577.8623248713344,2023-09-02,0,0
1,bid-c6614f2f,auc-214248b6,usr-4c23df88,967.100616918037,2023-10-24,0,0
1,bid-2eed3c1b,auc-d151882e,usr-9a015d8e,182.62335921396902,2023-12-21,0,0
1,bid-96ff0aa0,auc-629b7e1f,usr-6e5aaf7b,973.5015833231672,2023-12-29,0,0
1,bid-008c8b46,auc-08a38da7,usr-1c103460,316.2627958742931,2023-06-15,0,0
1,bid-4ca269af,auc-b7959309,usr-46ca183c,670.6026691634971,2023-12-16,0,0
1,bid-b6c401d4,auc-c1bc7d3c,usr-fb3e9623,704.9735030560407,2023-03-17,0,0
1,bid-c28f90e0,auc-c82ae6ca,usr-1a64f9e8,255.08043386133255,2023-05-05,0,0
1,bid-c931749a,auc-a4798b8b,usr-64c6a892,288.6204117688849,2024-01-10,1,0
1,bid-98759758,auc-f65ba89a,usr-61e5cada,851.6114091367011,2023-08-24,0,0
1,bid-a5567622,auc-4aa71d0a,usr-55f77199,934.3041394627064,2023-11-05,1,0
1,bid-35683053,auc-fa0053d6,usr-e38fa428,821.4332153054535,2023-06-20,0,0
1,bid-7d634b98,auc-18ee6228,usr-82c3f4b8,626.7264585182967,2023-04-25,0,0
1,bid-bdf89afa,auc-58dab145,usr-fcd5ab19,262.76398100898575,2023-05-04,0,0
1,bid-ca73545f,auc-2e1464f2,usr-c0107131,116.90412233669929,2023-07-27,0,0
1,bid-b3053e0b,auc-3cf1311d,usr-fece1b7c,313.1418887917086,2023-10-05,0,0
1,bid-9b93ce22,auc-1f6cf919,usr-f434518c,354.30007075640816,2023-06-02,0,0
