view_id_placeholder,user_guid_fk,product_guid_fk,viewed_at,duration_ms
1,usr-6d3f0a0d,prod-c2a3345e,2023-06-10,194735
1,usr-83cd1f50,prod-b6a06860,2023-06-01,81542
1,usr-84ac4056,prod-c1233e17,2023-02-10,200803
1,usr-732748d8,prod-b0ab0e3f,2023-08-31,262042
1,usr-56b88022,prod-72dd7f04,2023-10-26,189946
1,usr-c5a308ed,prod-3fe0fe12,2023-03-24,295310
1,usr-8bae6662,prod-9d49e1b8,2023-07-04,134380
1,usr-6cf48cda,prod-0aca6087,2023-08-28,28648
1,usr-513995eb,prod-e7feadeb,2023-12-01,22138
1,usr-dcd7c679,prod-d28a746d,2023-11-11,176816
1,usr-6f933322,prod-6383845b,2023-04-12,35172
1,usr-a48e17fe,prod-e921bf83,2023-05-16,35420
1,usr-222855a6,prod-9b491404,2023-05-28,13173
1,usr-26f11021,prod-7fbfa778,2023-04-13,280138
1,usr-2ec6b155,prod-60f0fcbe,2023-09-17,32621
1,usr-66f357c3,prod-375c456e,2023-02-07,181934
1,usr-17ab0c5f,prod-0acdf77b,2023-09-26,171016
1,usr-d2bbb38d,prod-8972f6a5,2023-10-01,90170
1,usr-fa1c446b,prod-b7231796,2023-05-25,240075
1,usr-1953e006,prod-34068f6c,2023-08-03,281470
1,usr-63bd7d24,prod-cd2dcb54,2023-03-30,280830
1,usr-b803e93a,prod-8e70161d,2023-07-24,56842
1,usr-60e3aeb4,prod-19ace41f,2023-12-30,164259
1,usr-f2e077f5,prod-4d3707d1,2023-07-10,272786
1,usr-3e625a7c,prod-9b491404,2023-07-07,242579
1,usr-a734dfa1,prod-6d5a3999,2023-12-23,166745
1,usr-121c0ded,prod-377f1406,2023-01-29,169271
1,usr-a0643a95,prod-d15e27e0,2023-05-18,28501
1,usr-61a99053,prod-54b4ae45,2023-03-29,200660
1,usr-8bae6662,prod-0a5df33f,2023-11-11,291710
1,usr-a9449936,prod-1687ee87,2023-05-28,226650
1,usr-a7d53474,prod-fb08d87b,2023-06-17,132172
1,usr-e0347164,prod-0aaa2aa9,2023-06-25,132109
1,usr-6d3f0a0d,prod-2fe3d8e7,2023-05-09,170376
1,usr-c5a308ed,prod-d896fecd,2023-02-22,118528
1,usr-366b6c56,prod-4a8371dc,2023-11-17,254321
1,usr-32e97dce,prod-3d1ec2ed,2023-06-24,277218
1,usr-e0347164,prod-fbf6bd99,2023-05-11,47670
1,usr-db7015bb,prod-fc4d0413,2023-10-19,124947
1,usr-dd5ccc64,prod-0c162ffe,2023-11-19,126656
1,usr-9c72a61f,prod-bb0b397e,2023-04-05,125736
1,usr-3e625a7c,prod-d317311d,2023-12-03,242024
1,usr-8ccd0a83,prod-efeacc5d,2024-01-13,67212
1,usr-5c54b24b,prod-edb420d4,2023-03-01,272612
1,usr-bb5c648c,prod-eda8a3bb,2023-10-14,295298
1,usr-036f8de2,prod-00225306,2023-03-19,174682
1,usr-691a5c3c,prod-3036354b,2023-07-23,73697
1,usr-ab374ed1,prod-8949aaa7,2023-07-13,205719
1,usr-dd00e10f,prod-aec75206,2023-10-29,128318
1,usr-323f5e0a,prod-5ab36005,2023-01-27,263933
1,usr-f8618f0d,prod-ccd26651,2023-01-13,167245
1,usr-aa39785f,prod-b6d619e8,2023-06-13,274157
1,usr-87bed5f2,prod-8972f6a5,2023-06-11,11437
1,usr-fcdd5bef,prod-e942d43c,2023-02-19,15464
1,usr-b151114e,prod-68e4f9a7,2023-03-12,28865
1,usr-a5d3d498,prod-f8c86b29,2023-09-20,187169
1,usr-72426ec6,prod-965f3c8c,2023-08-22,145351
1,usr-1447e27f,prod-55437120,2023-05-25,148566
1,usr-226686e4,prod-75096778,2023-07-28,262771
1,usr-c6f1b3d2,prod-7631d77c,2023-02-21,188825
1,usr-29937978,prod-d2ec6df3,2023-12-24,195610
1,usr-24b1fe50,prod-68e4f9a7,2024-01-16,69282
1,usr-bbcf7f8b,prod-7721264e,2023-07-15,298340
1,usr-c4a77538,prod-ccf673f2,2023-06-01,58242
1,usr-23e0eb10,prod-9981ff8b,2023-07-04,278448
1,usr-a22e6c7d,prod-e878a68a,2023-03-03,267802
1,usr-fcdd5bef,prod-cde6590f,2023-07-04,13059
1,usr-8adba44f,prod-8d3ee22a,2023-08-07,140853
1,usr-74f3c0f1,prod-c8352a9b,2023-09-22,167879
1,usr-53a34ca3,prod-681aa7e3,2023-08-11,92642
1,usr-09114904,prod-7643f23e,2023-01-28,42552
1,usr-c823d887,prod-4bdad0eb,2024-01-14,168574
1,usr-21efc034,prod-dfec1c50,2023-01-27,155861
1,usr-5fddd5e0,prod-cc140a72,2023-02-18,233812
1,usr-4cec6433,prod-9f7f2d49,2023-11-06,176738
1,usr-c9863c05,prod-df8ea89a,2023-08-07,261908
1,usr-7e8b25eb,prod-3f67f541,2023-02-11,33976
1,usr-596c4741,prod-afd6b625,2023-11-22,137079
1,usr-f2e077f5,prod-b7231796,2023-05-16,227631
1,usr-b5f7409e,prod-3fc8172d,2023-06-22,163164
1,usr-d2bbb38d,prod-a6dd2e78,2023-12-12,30985
1,usr-9df53057,prod-f2055137,2023-03-04,178735
1,usr-f854ca85,prod-f11837b8,2023-04-02,252725
1,usr-c650182a,prod-9f677601,2023-05-23,171572
1,usr-0b62c162,prod-e27e6cf6,2023-04-19,225193
1,usr-3e242518,prod-e160191a,2023-10-29,274251
1,usr-0ec4589c,prod-4dc68638,2023-07-01,164481
1,usr-86c2b66b,prod-1b2ca0e8,2023-03-21,219783
1,usr-563172d2,prod-a207b01d,2023-05-23,215581
1,usr-bf539df9,prod-4347d27a,2023-05-22,73246
1,usr-87ce9432,prod-8bf7c145,2023-07-25,136876
1,usr-37b139a0,prod-0968fae6,2023-07-11,165104
1,usr-b4cbcbcc,prod-68e4f9a7,2023-06-01,49051
1,usr-a5d3d498,prod-68e4f9a7,2024-01-10,34329
1,usr-333c0324,prod-2a662559,2023-05-04,225193
1,usr-17ab0c5f,prod-fbf6bd99,2023-10-22,187207
1,usr-86d78b9c,prod-9eaae26c,2023-09-30,203445
1,usr-cc531097,prod-ccd26651,2023-12-09,37790
1,usr-59ba273d,prod-94cbe251,2023-09-24,143334
1,usr-cc7b218f,prod-7fde6540,2024-01-27,14504
1,usr-eacde6cf,prod-28ecb05e,2023-03-06,200780
1,usr-b7be189e,prod-14cb617e,2023-08-29,256343
1,usr-c9863c05,prod-a0ae2046,2023-09-09,245679
1,usr-d52433b1,prod-426bf8e5,2023-02-28,200199
1,usr-f8c573d0,prod-e4ad7ee5,2024-01-04,28848
