like_id_placeholder,user_guid_fk,stream_guid_fk,liked_at
1,usr-7e16f81c,strm-6f315304,2023-09-09
1,usr-ef8f4538,strm-f54854b2,2023-08-30
1,usr-7d09fa26,strm-ded5fb9e,2023-08-21
1,usr-dc0a54ab,strm-2e76ee0c,2023-12-31
1,usr-fa1c446b,strm-0bf38f86,2023-11-18
1,usr-3076ff98,strm-50ea764a,2023-11-30
1,usr-1953e006,strm-5883fa10,2024-01-18
1,usr-ae915f94,strm-dd5aa05a,2023-09-03
1,usr-382112b4,strm-9398132c,2023-08-25
1,usr-d2975aab,strm-22f02b71,2024-01-09
1,usr-73e9ce31,strm-81ac4abd,2024-01-28
1,usr-5d9e1a61,strm-829837e8,2023-09-16
1,usr-0cabf99a,strm-41820166,2024-01-10
1,usr-d52433b1,strm-4f269727,2024-01-04
1,usr-cb71bb86,strm-77f1601e,2023-12-18
1,usr-dfb94e4b,strm-ffdb53e2,2023-12-07
1,usr-154b2291,strm-4ffd2c6d,2023-10-16
1,usr-4f391fc8,strm-3299d8e7,2023-09-25
1,usr-efb688ff,strm-a3fdbaf3,2023-08-27
1,usr-cb14b308,strm-d30e3fbd,2023-08-30
1,usr-3a520cce,strm-ffdb53e2,2023-12-25
1,usr-463dd2ea,strm-b8fe2591,2023-12-15
1,usr-ee899f62,strm-4a8fb245,2023-11-21
1,usr-252af04c,strm-a4f14c2b,2023-11-11
1,usr-3ec37cbe,strm-2829783d,2023-09-23
1,usr-0ad9ff9a,strm-6c6bac4c,2023-08-29
1,usr-fdee22fc,strm-ed766c1b,2023-11-04
1,usr-d6578220,strm-8279ce89,2023-12-15
1,usr-920f9794,strm-16f08b4a,2023-10-21
1,usr-cfd7b13b,strm-4b280539,2023-10-01
1,usr-9d7e61da,strm-3299d8e7,2024-01-05
1,usr-dc0db5f4,strm-b2f9a545,2024-01-24
1,usr-bef7e942,strm-b717048c,2023-09-02
1,usr-926ac9f6,strm-8d697156,2023-09-14
1,usr-5821d126,strm-890d1666,2023-12-11
1,usr-32807830,strm-0251c5ad,2023-11-02
1,usr-61c15ac5,strm-ecf61bac,2024-01-24
1,usr-7997105c,strm-3ae3c22b,2023-10-13
1,usr-8c46fb91,strm-22c8ac00,2023-08-29
1,usr-a4a6fc95,strm-239ea77b,2023-11-17
1,usr-e38ad911,strm-2835e042,2023-10-08
1,usr-872b9290,strm-d6114d25,2023-09-01
1,usr-292d3f03,strm-a5457dd3,2023-11-24
1,usr-f639d715,strm-be6334b1,2023-11-08
1,usr-8af206a3,strm-6873a2b5,2023-10-13
1,usr-40e56a4d,strm-94a93a69,2023-12-17
1,usr-a7d53474,strm-3eeb678a,2023-09-06
1,usr-89bb5a1a,strm-a4765a6d,2023-08-28
1,usr-6030c159,strm-712b6377,2023-09-02
1,usr-6c218f42,strm-803b022e,2023-11-28
1,usr-54f907d6,strm-70b8f235,2023-10-27
1,usr-d4df49b7,strm-f1fe5d11,2024-01-09
1,usr-8feb7c1c,strm-4b280539,2023-09-09
1,usr-009d8703,strm-844277ae,2023-12-19
1,usr-57953e31,strm-192736e3,2023-09-19
1,usr-8ccd0a83,strm-e02c3908,2023-12-28
1,usr-91e0bbe2,strm-f9de0c21,2023-09-12
1,usr-709d4205,strm-6277e2db,2023-12-08
1,usr-9fb272d0,strm-5c9cfca9,2023-08-26
1,usr-61a99053,strm-b9faab42,2023-08-26
1,usr-c4a77538,strm-e085736c,2023-08-29
1,usr-cb14b308,strm-80e712bc,2023-11-01
1,usr-292d3f03,strm-6cc8e5bb,2023-12-20
1,usr-71da06be,strm-663ce152,2023-10-20
