view_id_placeholder,user_guid_fk,stream_guid_fk,viewed_at,duration_ms,percentage_watched
1,usr-fd97d539,strm-9d294327,2023-09-20,2346500,0.4964259483329463
1,usr-ece69e4b,strm-d3f0a253,2024-01-10,3245343,0.6317003052386603
1,usr-69d7cde7,strm-a0efa843,2023-12-04,84666,0.9255275611796723
1,usr-bef7e942,strm-2330deac,2023-11-03,3187038,0.6208592119934955
1,usr-007f02c6,strm-8ac345e8,2023-08-16,780502,0.3869468431286705
1,usr-d317658b,strm-c92003c0,2023-12-18,932077,0.05742229533312802
1,usr-878e7410,strm-e85d57a6,2023-09-25,3191575,0.3541001022306871
1,usr-a5d3d498,strm-5c670b1b,2023-11-01,1212942,0.761449824930488
1,usr-ac38c808,strm-75a050e3,2023-12-24,131710,0.8328824654496436
1,usr-f5ef4dc4,strm-266e675d,2023-12-27,2253627,0.9689015415041692
1,usr-8c7d0739,strm-0512379e,2023-12-23,1672371,0.6084910839149085
1,usr-a5153815,strm-4bd7337b,2023-09-23,2706668,0.18086015742837735
1,usr-dc0db5f4,strm-53f4016b,2023-08-17,2194809,0.32715215107273893
1,usr-8af206a3,strm-166ad6c7,2024-01-10,3037845,0.6596066346855392
1,usr-93254392,strm-127a6960,2023-12-20,3554794,0.6749893620635827
1,usr-316ae0a8,strm-7d18f436,2023-10-17,731838,0.5234863706377321
1,usr-4701e91e,strm-9b4e6ff3,2023-09-20,2059227,0.6456675403879519
1,usr-73829c28,strm-df6cd8ea,2024-01-15,1848633,0.7279193583405449
1,usr-4cec6433,strm-69cece41,2024-01-20,3105275,0.4899523569402977
1,usr-8bae6662,strm-7d5cf3ab,2023-11-27,2186575,0.31093602684205246
1,usr-86ef8101,strm-626eb9a8,2023-10-31,2999728,0.8105309044862514
1,usr-cb14b308,strm-9cc1c72a,2024-01-13,1238744,0.2787946099946018
1,usr-4ab5ccfe,strm-5be8a7a2,2023-10-10,893223,0.905176188569629
1,usr-3aab52ef,strm-16e4ace8,2023-12-03,1933259,0.8692053569644909
1,usr-2172bea2,strm-a090f9f1,2024-01-04,2045061,0.9579861972830731
1,usr-d2bbb38d,strm-b4c89716,2023-09-26,2434380,0.0939483329825096
1,usr-7b4bb4bc,strm-ff776f83,2023-09-28,3506417,0.8475984377136604
1,usr-234fbdd2,strm-e3b019d0,2023-09-12,2016614,0.5907642760484345
1,usr-7e8b25eb,strm-3f8cba08,2023-09-13,176018,0.5631946670577799
1,usr-a28df583,strm-c1356394,2023-09-22,1093947,0.10737040367278264
1,usr-bc9fcdb7,strm-0cbab68e,2023-11-06,557406,0.8130391232333934
1,usr-f5a74836,strm-2d4ed3e1,2023-11-21,2709340,0.3789616050923047
1,usr-54312746,strm-27587ea1,2024-01-04,907815,0.5848140635395647
1,usr-0e3f3ded,strm-526185b7,2023-10-14,3587279,0.4957483562233452
1,usr-84f78a3a,strm-e1449cfd,2023-09-24,2673541,0.26193950325260645
1,usr-28595c80,strm-9fee8eac,2023-12-08,2488319,0.4430530486544702
1,usr-aa8e863d,strm-4f967871,2023-09-29,238534,0.6465260537079645
1,usr-ecd401c3,strm-2393a2fc,2024-01-23,2003881,0.32563794509230776
1,usr-33efebeb,strm-2900cd6a,2023-12-18,3237007,0.7358365202852446
1,usr-da64cec7,strm-56ab075d,2023-12-15,854970,0.7791386175625147
1,usr-222855a6,strm-8cf8e636,2023-12-07,1658091,0.46750271080976546
1,usr-f854ca85,strm-6f50ab39,2023-10-14,2595701,0.38137577606814227
1,usr-effdbab4,strm-c2b385a4,2024-01-30,1148092,0.7811385236938899
1,usr-eb148047,strm-889dacf2,2023-11-10,2812660,0.28957608834620185
1,usr-306fc64c,strm-2959d5ec,2023-10-09,2192815,0.7875759215522186
1,usr-fffbf315,strm-c160c98f,2023-08-24,1832255,0.4921779744949862
1,usr-c078555c,strm-68bc7aad,2023-12-01,957053,0.28523958471469
1,usr-7d09fa26,strm-4415d62b,2023-11-07,353950,0.35883904247854914
1,usr-9c72a61f,strm-0b49e5d3,2023-10-24,1545178,0.1311751827311194
1,usr-1e6e7597,strm-cece7cf3,2023-09-09,2387765,0.7264028586767981
1,usr-42c11654,strm-1bfa3431,2023-12-08,548368,0.06738533501427381
1,usr-222855a6,strm-f1fe5d11,2023-08-19,205965,0.7585978506516758
1,usr-1671e858,strm-618f8164,2023-11-13,3297006,0.2632350837205038
1,usr-a4a6fc95,strm-dff9bf57,2023-12-13,293350,0.15903551234593244
1,usr-709d4205,strm-27832e31,2024-01-10,67277,0.6107033431154275
1,usr-73e9ce31,strm-138026b5,2023-09-15,846025,0.194051960622243
1,usr-4701e91e,strm-97dcecf5,2023-11-04,3180701,0.5096737470210195
1,usr-575220b6,strm-53f88c16,2023-09-15,721784,0.6017771526071306
1,usr-82ddf0af,strm-fc4268cf,2023-12-01,182366,0.8226495541432293
1,usr-8feb7c1c,strm-5d86c0ba,2023-08-24,3453606,0.9565103090994967
1,usr-79af3e4c,strm-c125fbd5,2023-08-17,2914575,0.606892045361358
1,usr-72ccffda,strm-9fe4a48f,2023-08-21,2652743,0.1641683630954195
1,usr-d12b225b,strm-059644b8,2023-11-04,3252163,0.643955051805517
1,usr-ab374ed1,strm-8be236c8,2024-01-27,1098516,0.39797430481920837
1,usr-5d8185a2,strm-79ef6600,2023-08-25,3477370,0.791220970993067
1,usr-0db68f2e,strm-36f97931,2023-08-30,1925063,0.9543954365937368
1,usr-cddb9eb8,strm-578b39da,2023-11-17,1334993,0.46968065476846144
1,usr-98bb8be9,strm-16cca8c9,2023-09-23,1096423,0.06464599240740515
1,usr-3363230e,strm-286d6e04,2023-12-15,540616,0.634870429342502
1,usr-ac38c808,strm-7966167d,2023-10-18,149211,0.40309657395042847
1,usr-eb148047,strm-03da3c1f,2023-11-02,2931997,0.9069527477688517
1,usr-74f3c0f1,strm-23d29c6a,2024-01-30,2079699,0.8410802464839229
1,usr-ac90e43b,strm-a4765a6d,2023-12-25,633518,0.5691804908380166
1,usr-709d4205,strm-84fdc73a,2023-12-23,3035336,0.8926181370495092
1,usr-870e140a,strm-8cbe38eb,2023-09-26,3484376,0.44855516346585866
1,usr-d07e4b0c,strm-1efd68e7,2023-08-14,1735057,0.5929416321210961
1,usr-ac8641c4,strm-3ce314dd,2023-11-08,3155998,0.907378071297643
1,usr-0dd354a2,strm-8d697156,2023-10-25,465655,0.7710662357398116
1,usr-90c3f09e,strm-9ae9084b,2024-01-27,2112697,0.28201159046471963
1,usr-faf79ac7,strm-8b6664ee,2024-01-11,2572112,0.43832151424149307
1,usr-18e6458d,strm-3a8d3932,2024-01-18,184811,0.222547477107232
1,usr-b5f7409e,strm-e4ed1e39,2023-10-08,552279,0.14830860328695916
1,usr-258b7744,strm-a3418b2b,2023-10-04,389990,0.9030257031236643
1,usr-036f8de2,strm-2d3040e7,2023-12-18,2193876,0.44401976040795066
1,usr-7def6563,strm-5e988eac,2023-10-21,2810394,0.06866202954068173
1,usr-9d300478,strm-4b6abb03,2023-10-05,1703251,0.3449162403326537
1,usr-3076ff98,strm-152d5ad5,2023-10-31,2353927,0.9165598282765469
1,usr-cddb9eb8,strm-b2c7cd19,2023-09-17,2374622,0.08113904408630356
1,usr-8c47c0e8,strm-d46089bb,2023-11-13,1589667,0.7026533530218452
1,usr-f7c864f7,strm-779c7eae,2024-01-11,562636,0.5736217148783688
1,usr-bf539df9,strm-d603f2d7,2023-08-24,262751,0.8978272692603805
1,usr-4949fbdd,strm-526185b7,2023-12-07,432494,0.6801542755842184
1,usr-4e02125c,strm-fc3ba0f5,2023-12-09,2245042,0.7804627989654527
1,usr-4e02125c,strm-418bc8fb,2023-11-12,2193965,0.9906410514139679
1,usr-cf2a6e29,strm-dd0259bd,2024-01-20,1331943,0.6110281053640219
