follow_id_placeholder,follower_guid_fk,followed_guid_fk,created_at
1,usr-d2bbb38d,usr-0c876a73,2023-03-17
1,usr-4949fbdd,usr-84f78a3a,2023-06-04
1,usr-68677915,usr-4d078e3d,2023-12-27
1,usr-a840ec19,usr-5c52e4cd,2023-06-08
1,usr-7e8b25eb,usr-cbb51816,2023-11-11
1,usr-cf2a6e29,usr-a903ccdf,2022-02-03
1,usr-b4b12cc2,usr-e90f4a76,2022-12-24
1,usr-3e625a7c,usr-8e35de03,2022-08-06
1,usr-9ee9797d,usr-b137c1a6,2023-06-24
1,usr-93254392,usr-1671e858,2022-08-22
1,usr-b8a6b00f,usr-04ed2095,2023-12-11
1,usr-fe19be82,usr-d6578220,2023-03-19
1,usr-851a41bf,usr-6e910758,2022-06-15
1,usr-f7b97516,usr-014cee71,2023-01-17
1,usr-6030c159,usr-121c0ded,2023-10-17
1,usr-f3055a8d,usr-878e7410,2023-11-07
1,usr-724e9af6,usr-ee899f62,2022-03-26
1,usr-3bc89738,usr-a5d3d498,2023-02-01
1,usr-2dcc6710,usr-aa8e863d,2023-03-28
1,usr-4e02125c,usr-fe19be82,2023-10-25
1,usr-0ec4589c,usr-765f33ed,2022-04-07
1,usr-ee4589ed,usr-33efebeb,2022-12-16
1,usr-e38ad911,usr-5126e2a2,2023-10-11
1,usr-c078555c,usr-73e9ce31,2022-03-12
1,usr-5940a8b0,usr-dd00e10f,2023-08-11
1,usr-44db6678,usr-323f5e0a,2023-10-27
1,usr-802b9fdb,usr-3ab2703e,2023-11-29
1,usr-1a279f8e,usr-926ac9f6,2022-02-10
1,usr-1953e006,usr-84f78a3a,2023-08-30
1,usr-1163eea7,usr-fa1c446b,2022-06-16
1,usr-62a05217,usr-59f79a59,2023-07-06
1,usr-436cf9e2,usr-b137c1a6,2023-04-09
1,usr-3ee0a362,usr-6f933322,2023-10-16
1,usr-014cee71,usr-ac90e43b,2023-11-20
1,usr-6d3f0a0d,usr-69441f05,2023-02-28
1,usr-372dec69,usr-06930d2f,2023-08-17
1,usr-5fabae9d,usr-ebce95ed,2022-12-19
1,usr-18e6458d,usr-258b7744,2022-05-23
1,usr-33c051da,usr-25b9b898,2023-07-19
1,usr-7c60026c,usr-c73ab85e,2023-11-08
1,usr-f7c864f7,usr-5fabae9d,2023-01-16
1,usr-226686e4,usr-beb37d4a,2022-03-18
1,usr-4701e91e,usr-436cf9e2,2022-03-04
1,usr-b0ca75f8,usr-beb37d4a,2023-03-31
1,usr-eb148047,usr-d5c916af,2023-02-23
1,usr-0ad9ff9a,usr-014cee71,2023-11-02
1,usr-c53ff454,usr-4146a00d,2022-11-12
1,usr-fc7ae566,usr-ed450431,2023-09-17
1,usr-4701e91e,usr-63584fd4,2023-04-30
1,usr-6030c159,usr-b66b3945,2022-07-21
1,usr-c7872d7d,usr-42a224cd,2023-06-25
1,usr-c9863c05,usr-5821d126,2022-03-09
1,usr-a28df583,usr-2b939700,2022-04-05
1,usr-7997105c,usr-0b3665ec,2023-12-25
1,usr-23e0eb10,usr-69d7cde7,2022-07-24
1,usr-bf907aca,usr-e911e6f4,2023-03-04
1,usr-587c4c78,usr-dcbc1ac7,2022-03-28
1,usr-dd5ccc64,usr-93b0d39b,2023-12-13
1,usr-4eaabdf1,usr-2dcc6710,2022-10-17
1,usr-d317658b,usr-1953e006,2022-09-27
1,usr-f2e077f5,usr-89bb5a1a,2022-07-27
1,usr-0ad9ff9a,usr-16d0b48f,2023-11-12
1,usr-cd636afa,usr-366b6c56,2022-03-05
1,usr-ed450431,usr-17ffe674,2023-06-25
1,usr-3ac00a9e,usr-40ec6fc3,2023-12-21
1,usr-64066ce8,usr-fe19be82,2022-10-15
1,usr-15d719e8,usr-4d884589,2022-07-03
1,usr-bf907aca,usr-f7c864f7,2023-07-26
1,usr-9d7e61da,usr-72426ec6,2023-10-02
1,usr-0dd354a2,usr-dd00e10f,2023-09-22
1,usr-ff1a7c19,usr-c73ab85e,2022-02-02
1,usr-30081e8e,usr-10ed81ee,2022-10-30
1,usr-37b139a0,usr-90c3f09e,2023-06-10
1,usr-86c2b66b,usr-fd97d539,2022-02-23
1,usr-49e0181a,usr-0dd354a2,2023-05-12
1,usr-cd35d433,usr-3a520cce,2022-10-23
1,usr-881561f2,usr-b151114e,2023-07-08
1,usr-c4a77538,usr-dc7131d6,2023-02-17
1,usr-3ee0a362,usr-16d0b48f,2023-05-20
1,usr-007f02c6,usr-28fafd3f,2022-10-26
1,usr-17be4c2c,usr-258b7744,2023-03-23
1,usr-dfb94e4b,usr-40ec6fc3,2023-10-28
1,usr-60e3aeb4,usr-4a41ac76,2022-08-22
1,usr-9d300478,usr-91a20c83,2022-04-20
1,usr-c1e5c048,usr-4797aeb5,2022-10-10
1,usr-7e16f81c,usr-fe43756d,2022-03-20
1,usr-28595c80,usr-ef6a1e71,2022-08-12
1,usr-04ed2095,usr-c7763c08,2023-08-14
1,usr-ebce95ed,usr-689346a2,2022-08-18
1,usr-d2bbb38d,usr-a840ec19,2022-03-17
1,usr-db7015bb,usr-e23b4e7d,2023-05-06
1,usr-4c948415,usr-765f33ed,2023-09-11
1,usr-ab374ed1,usr-f73d983e,2022-05-06
1,usr-13270652,usr-f2e077f5,2023-04-27
1,usr-e2cd8c52,usr-463dd2ea,2023-10-06
1,usr-e911e6f4,usr-14139641,2023-02-16
1,usr-a48e17fe,usr-36542e8a,2022-03-20
1,usr-691a5c3c,usr-d07e4b0c,2022-09-30
1,usr-2ec6b155,usr-596c4741,2023-04-27
1,usr-0c644555,usr-c947eada,2023-11-17
1,usr-035c84bc,usr-ece69e4b,2022-07-14
1,usr-f5a74836,usr-121c0ded,2022-09-01
1,usr-5fabae9d,usr-59abca28,2023-04-10
1,usr-626d9652,usr-17b9c098,2023-08-23
1,usr-b7be189e,usr-238cc9d1,2023-06-17
1,usr-19926c0a,usr-72ccffda,2022-08-11
1,usr-5d9e1a61,usr-4e02125c,2022-10-25
1,usr-2050c20f,usr-035c84bc,2022-09-25
1,usr-26502772,usr-ec79c293,2022-08-20
1,usr-c947eada,usr-56248453,2022-02-22
1,usr-2406467a,usr-8a1ebbc9,2022-07-21
1,usr-fde8678d,usr-444d9fe6,2022-06-20
1,usr-14d8a4a4,usr-bb983f41,2022-08-08
1,usr-765f33ed,usr-63bd7d24,2022-06-02
1,usr-9851029e,usr-81801aa9,2023-06-20
1,usr-9c7e7b2a,usr-bea395f0,2023-03-15
1,usr-57953e31,usr-98602e22,2022-12-05
1,usr-bb983f41,usr-66f357c3,2022-10-23
1,usr-2f0a0625,usr-60e3aeb4,2022-07-20
1,usr-59ba273d,usr-ef6a1e71,2023-07-30
1,usr-eacde6cf,usr-15d719e8,2023-01-18
1,usr-f8c573d0,usr-154b2291,2022-10-26
1,usr-fcdd5bef,usr-40ec6fc3,2023-09-18
1,usr-26f11021,usr-49e0181a,2022-05-29
1,usr-4c948415,usr-4535bf6e,2023-03-12
1,usr-e97e3af3,usr-63584fd4,2022-09-18
1,usr-707be311,usr-84f78a3a,2023-08-31
1,usr-372dec69,usr-085637fb,2022-09-23
1,usr-ebce95ed,usr-4146a00d,2023-08-12
1,usr-e3ae5358,usr-a6046a13,2022-02-10
1,usr-f7587bb6,usr-044cfa1f,2022-04-21
1,usr-a3b882b4,usr-4701e91e,2023-01-04
1,usr-463f3f17,usr-5fddd5e0,2023-05-09
1,usr-26502772,usr-e6c2655e,2022-08-24
1,usr-2a83dee9,usr-0b8510e9,2022-04-01
1,usr-b0ca75f8,usr-50e5c515,2022-10-01
1,usr-3ac00a9e,usr-3d63c90c,2022-05-25
1,usr-f8618f0d,usr-5fabae9d,2023-09-04
1,usr-d6578220,usr-d09bc153,2022-12-12
1,usr-1447e27f,usr-65f183f2,2023-06-23
1,usr-671a3c2c,usr-3ec37cbe,2022-04-06
1,usr-aa8e863d,usr-44db6678,2023-08-24
1,usr-85ffab45,usr-f43eed59,2023-04-04
1,usr-26502772,usr-f5ef4dc4,2023-10-06
1,usr-91a20c83,usr-e596b439,2022-07-20
1,usr-e43aa2c9,usr-cc7b218f,2023-01-03
1,usr-bea395f0,usr-56b88022,2023-09-23
1,usr-3fcf37a4,usr-bdf3b479,2023-12-22
1,usr-60e3aeb4,usr-bdf3b479,2023-10-13
1,usr-be1a878c,usr-0a166644,2022-02-14
1,usr-a903ccdf,usr-cd9b74b6,2022-12-01
1,usr-f73d983e,usr-3979c521,2022-10-11
1,usr-82955b44,usr-c6f1b3d2,2022-02-18
1,usr-33c051da,usr-3f3512e2,2022-05-23
1,usr-f3055a8d,usr-3a520cce,2023-10-30
1,usr-73829c28,usr-626d9652,2022-11-05
1,usr-001cda6c,usr-8c7d0739,2023-06-03
1,usr-17c0fe92,usr-671a3c2c,2022-09-07
1,usr-8c47c0e8,usr-c6d706a3,2023-07-04
1,usr-4ab5ccfe,usr-f73d983e,2023-02-25
1,usr-54312746,usr-258b7744,2022-02-05
1,usr-a4a6fc95,usr-e97e3af3,2023-06-07
1,usr-680aa584,usr-7b4bb4bc,2022-07-09
1,usr-dcf2610d,usr-c5335aa0,2023-02-24
1,usr-2d809b6a,usr-74f3c0f1,2023-06-20
1,usr-7cce8a8e,usr-53a34ca3,2022-08-24
1,usr-3d9eb86c,usr-036f8de2,2022-04-08
1,usr-82955b44,usr-3f5854f3,2023-06-01
1,usr-a7c07891,usr-323f5e0a,2022-02-02
1,usr-44db6678,usr-3bc89738,2023-05-14
1,usr-a840ec19,usr-b66b3945,2022-05-02
1,usr-463f3f17,usr-0ad9ff9a,2022-07-14
1,usr-fdee22fc,usr-920f9794,2022-03-05
1,usr-689346a2,usr-59f79a59,2023-12-23
1,usr-cd9b74b6,usr-f8618f0d,2023-06-08
1,usr-a2a4eb78,usr-8b4608dc,2023-11-25
1,usr-4934e467,usr-0b3665ec,2022-03-26
1,usr-575220b6,usr-ca7e1454,2022-12-29
1,usr-f5a74836,usr-fd97d539,2022-07-23
1,usr-9526250e,usr-d96c63ee,2022-12-04
1,usr-6e910758,usr-84ac4056,2022-09-11
1,usr-57953e31,usr-bba6c0a7,2023-12-27
1,usr-0db68f2e,usr-7b4bb4bc,2023-11-18
1,usr-872b9290,usr-4a41ac76,2022-07-28
1,usr-99cc2a7a,usr-e9ad683a,2022-03-03
1,usr-db29db64,usr-80f12197,2022-06-19
1,usr-3e242518,usr-15d719e8,2023-10-26
1,usr-b2838242,usr-8a1ebbc9,2023-11-20
1,usr-3b4003ba,usr-61a99053,2023-05-22
1,usr-184a79ab,usr-87bed5f2,2022-09-24
1,usr-82ddf0af,usr-17ffe674,2023-08-22
1,usr-82955b44,usr-61132021,2022-05-19
1,usr-04ed2095,usr-6e910758,2023-07-10
1,usr-fde8678d,usr-66587839,2023-12-05
1,usr-7e16f81c,usr-f854ca85,2022-03-03
1,usr-fe0f8e9d,usr-8e35de03,2023-12-12
1,usr-0cabf99a,usr-a7c07891,2022-04-19
1,usr-ac8641c4,usr-596c4741,2022-02-25
1,usr-0ec4589c,usr-60e3aeb4,2023-04-10
1,usr-b591edda,usr-6534dcf1,2022-10-20
1,usr-36542e8a,usr-0a166644,2023-07-22
1,usr-bb983f41,usr-234fbdd2,2022-03-13
1,usr-34f4de14,usr-154b2291,2023-07-18
1,usr-8342d31a,usr-84ac4056,2022-07-08
1,usr-28595c80,usr-372dec69,2023-05-16
1,usr-b5614691,usr-ac6645c9,2022-11-20
1,usr-bdcf781b,usr-02baa55b,2023-02-10
1,usr-eb148047,usr-86c2b66b,2022-04-30
1,usr-920f9794,usr-c823d887,2023-03-09
1,usr-ae915f94,usr-f73d983e,2023-06-25
1,usr-69d7cde7,usr-c6d2f5b4,2022-10-22
1,usr-14d8a4a4,usr-73e9ce31,2023-10-04
1,usr-c6f1b3d2,usr-cddb9eb8,2022-11-25
1,usr-2aaf6a56,usr-2f0a0625,2022-09-03
1,usr-258b7744,usr-87bed5f2,2022-06-09
1,usr-7def6563,usr-84f78a3a,2022-08-18
1,usr-fe050a4a,usr-3d7299a5,2023-06-22
1,usr-16d0b48f,usr-4a2043e9,2023-04-16
1,usr-73829c28,usr-69d7cde7,2023-08-18
1,usr-bc585e1d,usr-33c051da,2022-02-18
1,usr-99745c86,usr-463dd2ea,2023-09-02
1,usr-b4cbcbcc,usr-4d078e3d,2023-10-30
1,usr-463f5ed7,usr-a903ccdf,2023-09-04
1,usr-918ce155,usr-d09bc153,2023-12-24
1,usr-74f3c0f1,usr-ac8641c4,2023-04-07
1,usr-dde6c7ef,usr-791413bf,2023-03-01
1,usr-dfb94e4b,usr-2172bea2,2022-05-13
1,usr-1a279f8e,usr-588afa11,2022-03-24
1,usr-791413bf,usr-c5a308ed,2022-03-15
1,usr-a7d53474,usr-bc9fcdb7,2022-11-19
1,usr-c6f1b3d2,usr-91326388,2022-02-08
1,usr-e4d9c4ab,usr-a7c07891,2023-12-27
1,usr-6cf48cda,usr-cf2a6e29,2023-06-14
1,usr-8a1ebbc9,usr-85ffab45,2023-04-19
1,usr-488b1038,usr-75a0bce6,2023-07-28
1,usr-8305d36e,usr-d52433b1,2023-07-19
1,usr-518a9ac3,usr-a1e12cfb,2022-11-14
1,usr-82ddf0af,usr-0b3665ec,2023-01-12
1,usr-65f183f2,usr-b4b12cc2,2023-12-19
1,usr-765f33ed,usr-3a520cce,2022-11-20
1,usr-4cec6433,usr-d2bbb38d,2023-11-20
1,usr-f3055a8d,usr-eacde6cf,2023-04-16
1,usr-63584fd4,usr-8adba44f,2022-09-03
1,usr-c7763c08,usr-71da06be,2022-08-29
1,usr-db7015bb,usr-222855a6,2023-12-11
1,usr-4797aeb5,usr-e38ad911,2022-03-01
1,usr-e43aa2c9,usr-2050c20f,2022-07-31
1,usr-bea395f0,usr-da64cec7,2023-04-06
1,usr-ee4589ed,usr-791413bf,2022-02-03
1,usr-222855a6,usr-3ec37cbe,2022-09-30
1,usr-3fcf37a4,usr-ab623293,2023-07-16
1,usr-c7872d7d,usr-5c52e4cd,2022-12-24
1,usr-c5a308ed,usr-5d9e1a61,2023-03-11
1,usr-14139641,usr-c7763c08,2023-09-07
1,usr-33efebeb,usr-17d973ef,2022-04-29
1,usr-26502772,usr-ab623293,2023-12-28
1,usr-3a520cce,usr-24b1fe50,2022-04-28
